url,name,user_id,host_name,price,address,star_rating,review_count,person_capacity,host_other_property_review_count,min_nights,profile_path,businessTravelReadyRequiredAmenitiesTags,extra_people,cleaning_fee,accuracy,communication,cleanliness,location,checkin,cost_performance,review_score
"""https://www.airbnb.jp/rooms/8832522?guests=1""","""8 min from ShinagawaST.  high‐rise""",46259337,"""Sachiko""",6907,"""Minato-ku, Tōkyō-to, 日本""",4.5,51,2,0,1,"""/users/show/46259337""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥2000 / 泊 (1名を超えると1名様増毎に加算)""","""￥1000""",10,9,10,10,10,9,93
"""https://www.airbnb.jp/rooms/6651258?guests=1""",""" モダンなアパートで室内のレンガ調の壁がかっこいい。滞在にお勧めです。""",25442899,"""Mickey""",11031,"""Shibuya-ku, Tōkyō-to, 日本""",5,76,3,344,2,"""/users/show/25442899""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥3000""",10,10,10,10,10,10,96
"""https://www.airbnb.jp/rooms/14232262?guests=1""","""30sq.m. Ultra Retro Modern @SHIBUYA""",17190440,"""Samurai Japan""",5154,"""Setagaya-ku, Tōkyō-to, 日本""",5,4,3,140,2,"""/users/show/17190440""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1546 / 泊 (1名を超えると1名様増毎に加算)""","""￥5464""",10,10,10,10,10,10,100
"""https://www.airbnb.jp/rooms/10671851?guests=1""","""Shinjuku 101 shared room-C03""",44342300,"""ハチ""",1959,"""新宿, 東京, 日本""",4,11,1,170,2,"""/users/show/44342300""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥2000""",9,9,8,9,8,9,84
"""https://www.airbnb.jp/rooms/13410511?guests=1""","""[R037] SALE! SKYTREE View/4 person/Free WiFi""",69193840,"""Ryo&amp;Erika""",5051,"""Sumida-ku, Tōkyō-to, 日本""",4.5,6,4,139,1,"""/users/show/69193840""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1546 / 泊 (1名を超えると1名様増毎に加算)""","""￥3093""",9,9,10,9,9,10,87
"""https://www.airbnb.jp/rooms/12596702?guests=1""","""Very Comfortable For Fish Market 3""",41214834,"""Gou""",2062,"""Chūō-ku, Tōkyō-to, 日本""",4.5,22,2,268,1,"""/users/show/41214834""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥2062 / 泊 (1名を超えると1名様増毎に加算)""","""￥515""",9,9,9,9,9,9,92
"""https://www.airbnb.jp/rooms/14496869?guests=1""","""Higashi Shinjuku 1min by walk!""",74449247,"""Minakawa""",2474,"""新宿, 東京, 日本""",-1,2,1,0,1,"""/users/show/74449247""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥-1""",10,10,10,9,9,10,100
"""https://www.airbnb.jp/rooms/14529901?guests=1""","""Cozy room in an old traditional neighbourhood""",89835321,"""Gustav""",1959,"""Katsushika-ku, Tōkyō-to, 日本""",-1,1,2,0,1,"""/users/show/89835321""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥-1""",10,6,10,8,8,10,100
"""https://www.airbnb.jp/rooms/14156152?guests=1""","""[R064] sale! 5min Shibuya! Free Wifi Enjoy Room!""",81879587,"""Ryo""",7216,"""Shibuya-ku, Tōkyō-to, 日本""",4.5,7,4,71,2,"""/users/show/81879587""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1546 / 泊 (1名を超えると1名様増毎に加算)""","""￥3093""",9,9,9,9,8,9,89
"""https://www.airbnb.jp/rooms/9909043?guests=1""","""Unique Sento Apartment in Asakusa""",44395003,"""Yuichi""",52,"""Taito-ku, 東京, 日本""",5,30,2,38,1,"""/users/show/44395003""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""$41""",10,10,10,10,10,10,97
"""https://www.airbnb.jp/rooms/11915808?guests=1""","""COZY FLAT NEAR DOWNTOWN""",42175076,"""Sachie""",4020,"""Bunkyō-ku, Tōkyō-to, 日本""",5,21,2,0,1,"""/users/show/42175076""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥2000 / 泊 (1名を超えると1名様増毎に加算)""","""￥-1""",10,10,10,9,9,10,95
"""https://www.airbnb.jp/rooms/14797464?guests=1""","""★New Open★calm room-D Shinjuku.3min train""",24026566,"""Kazu""",2577,"""Nakano-ku, Tōkyō-to, 日本""",-1,0,1,186,1,"""/users/show/24026566""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥2000""",-1,-1,-1,-1,-1,-1,-1
"""https://www.airbnb.jp/rooms/6964965?guests=1""","""渋谷/恵比寿/代官山3駅利用 PocketWifi利用可能です!""",11392175,"""Hideyuki""",6185,"""Shibuya-ku, Tōkyō-to, 日本""",4.5,69,2,0,1,"""/users/show/11392175""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥5154""",9,10,9,9,10,9,92
"""https://www.airbnb.jp/rooms/12893030?guests=1""","""広々としたアイランドキッチン付き!屋上テラスもご自由にどうぞ♪【東京メトロ赤坂駅#7徒歩0分】""",67165069,"""浩司""",11080,"""Minato-ku, Tōkyō-to, 日本""",-1,2,2,8,1,"""/users/show/67165069""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥6001""",10,10,10,10,10,10,100
"""https://www.airbnb.jp/rooms/11369771?guests=1""","""Moving Sale -Room for Ladies (女性限定)""",39108286,"""Yuki""",2990,"""Shinagawa-ku, Nishi-Gotanda, Tōkyō-to, 日本""",5,26,1,0,1,"""/users/show/39108286""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥-1""",9,10,9,9,9,9,95
"""https://www.airbnb.jp/rooms/13931501?guests=1""","""MitaTokyoDedutTokyo TowerEasy AccessFreeWIFI""",82790606,"""秀一""",5051,"""Minato-ku, Tōkyō-to, 日本""",-1,0,3,0,1,"""/users/show/82790606""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1499 / 泊 (2名を超えると1名様増毎に加算)""","""￥1999""",-1,-1,-1,-1,-1,-1,-1
"""https://www.airbnb.jp/rooms/8978497?guests=1""","""西新宿徒歩5分   ベッド2つ 貸切の部屋""",43056471,"""Takeyoshi""",5464,"""Shinjuku-ku, Tōkyō-to, 日本""",5,4,2,0,3,"""/users/show/43056471""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥4969""",10,9,10,9,10,10,95
"""https://www.airbnb.jp/rooms/14809632?guests=1""","""1分で東京ドーム #綺麗な部屋です!""",63144486,"""Yuanyuan""",7732,"""Bunkyō-ku, Tōkyō-to, 日本""",-1,0,4,0,2,"""/users/show/63144486""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1031 / 泊 (2名を超えると1名様増毎に加算)""","""￥6701""",-1,-1,-1,-1,-1,-1,-1
"""https://www.airbnb.jp/rooms/8019203?guests=1""","""Comfy private room, 20min Shinjuku.""",33706608,"""Masanori""",10000,"""Nakano-ku, Tōkyō-to, 日本""",5,3,1,2,1,"""/users/show/33706608""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥1000""",10,9,9,6,10,10,100
"""https://www.airbnb.jp/rooms/14689433?guests=1""","""Brand Room shinjuku 4min cozy apt.""",51033491,"""Akira""",5361,"""Shinjuku-ku, Tōkyō-to, 日本""",-1,0,2,19,1,"""/users/show/51033491""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥4001""",-1,-1,-1,-1,-1,-1,-1
